id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,0.669818,748674688,52,,114453783,0.713926,0.669366,-0.04397500185210734,-6.16075,-48533560.36080277,-6.08794,1116787761.7207,,,22.71,-97.05365,2018-04-29T07:50:33.540Z,0.5024,33.19151,2017-10-23T00:00:00.000Z,"{'times': -0.3234157902512117, 'currency': 'usd', 'percentage': -32.34157902512117}",2023-08-16T09:57:27.954Z
elrond-erd-2,egld,MultiversX,https://assets.coingecko.com/coins/images/12335/large/egld-token-logo.png?1673490885,28.86,746098032,53,907138019,21439354,30.72,28.78,-1.8618792371489477,-6.06039,-45949048.32053566,-5.8013,25838803.0,25843955.0,31415926.0,545.64,-94.72125,2021-11-23T10:33:26.737Z,6.51,342.66836,2020-10-07T01:44:53.554Z,,2023-08-16T09:57:21.001Z
blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,0.530535,742697297,54,965177871,15736577,0.580834,0.530324,-0.04897554516313985,-8.45119,-67346364.77444577,-8.31392,1398937673.28115,1818000000.0,1818000000.0,3.39,-84.35777,2021-12-01T01:32:34.725Z,0.04559639,1062.84378,2020-03-13T02:29:26.415Z,"{'times': 3.4211238986220684, 'currency': 'usd', 'percentage': 342.11238986220684}",2023-08-16T09:57:15.411Z
the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942,0.359658,740926837,55,1080104003,113667221,0.39003,0.359197,-0.030372199495390106,-7.78715,-61535070.6047405,-7.66829,2057931926.2233226,3000000000.0,3000000000.0,8.4,-95.72039,2021-11-25T06:04:40.957Z,0.02897764,1140.09333,2020-11-04T15:59:14.441Z,,2023-08-16T09:57:25.523Z
havven,snx,Synthetix Network,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139,2.3,737762433,56,739422040,34768637,2.51,2.29,-0.20615614585581277,-8.22956,-57925786.60329664,-7.27996,321806453.13952357,322530361.088774,322530361.088774,28.53,-91.97541,2021-02-14T01:12:38.505Z,0.0347864,6481.87684,2019-01-06T00:00:00.000Z,"{'times': 3.597824714905918, 'currency': 'usd', 'percentage': 359.7824714905918}",2023-08-16T09:57:26.222Z
usdd,usdd,USDD,https://assets.coingecko.com/coins/images/25380/large/UUSD.jpg?1651823371,0.996419,722683112,57,,26086707,0.999007,0.995299,7.841e-05,0.00787,-39617.58425462246,-0.00548,725332034.742248,,,1.044,-4.45537,2022-11-09T09:56:06.131Z,0.928067,7.47085,2022-06-19T16:15:11.558Z,,2023-08-16T09:57:24.692Z
immutable-x,imx,ImmutableX,https://assets.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1665110648,0.641305,719833646,58,1281537272,29876987,0.714508,0.636479,-0.05625375953425671,-8.06437,-64004901.10546231,-8.16557,1123390886.9500241,2000000000.0,2000000000.0,9.52,-93.2762,2021-11-26T01:03:01.536Z,0.378055,69.31441,2022-12-31T07:36:37.649Z,,2023-08-16T09:57:22.979Z
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,5.38,704692786,59,1452068276,55666001,5.82,5.37,-0.4062239090438515,-7.02475,-53245742.50037646,-7.02507,131031753.30627233,270000000.0,270000000.0,164.9,-96.74247,2021-11-06T19:29:29.482Z,0.123718,4241.79215,2020-11-06T08:05:43.662Z,,2023-08-16T09:57:26.257Z
tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,0.747676,703888883,60,,19939741,0.783949,0.746372,-0.03582034713190396,-4.57186,-33530217.628011823,-4.54697,940824369.461637,,,9.12,-91.81117,2021-10-04T00:41:18.025Z,0.350476,112.99588,2018-12-07T00:00:00.000Z,"{'times': 0.5908006419771453, 'currency': 'usd', 'percentage': 59.080064197714535}",2023-08-16T09:57:27.230Z
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,0.688031,687776645,61,687776645,21767359,0.757331,0.686991,-0.06459868632192933,-8.58307,-63487944.98655605,-8.45081,1000000000.0,1000000000.0,1000000000.0,15.72,-95.63013,2021-04-16T13:15:11.190Z,0.04039979,1600.33434,2020-03-13T02:24:16.483Z,"{'times': 3.5868725815669467, 'currency': 'usd', 'percentage': 358.68725815669467}",2023-08-16T09:57:28.373Z
flex-coin,flex,FLEX Coin,https://assets.coingecko.com/coins/images/9108/large/coinflex_logo.png?1628750583,6.93,680396624,62,680885044,96860,7.31,6.37,-0.3807189103561637,-5.20972,-30311585.408097506,-4.26498,98664938.6988896,98735764.894,98735764.894,12.32,-44.05525,2023-08-07T01:49:53.752Z,0.00047299,1457256.02008,2020-08-04T11:18:39.614Z,,2023-08-16T09:57:20.112Z
apecoin,ape,ApeCoin,https://assets.coingecko.com/coins/images/24383/large/apecoin.jpg?1647476455,1.81,667003766,63,1809590547,107744720,2.04,1.8,-0.22069351481062904,-10.86831,-78399413.4856273,-10.51772,368593750.0,1000000000.0,1000000000.0,26.7,-93.22791,2022-04-28T21:44:21.164Z,1.77,2.24668,2023-08-01T03:45:30.342Z,,2023-08-16T09:57:20.793Z
bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,33.25,640801379,64,698472720,27523521,35.8,33.23,-2.454626287354408,-6.87512,-46405999.16977167,-6.75284,19266076.644239,21000000.0,21000000.0,489.75,-93.21364,2021-04-16T17:09:04.630Z,21.43,55.05715,2023-06-10T04:32:12.266Z,,2023-08-16T09:57:22.607Z
bitget-token,bgb,Bitget Token,https://assets.coingecko.com/coins/images/11610/large/icon_colour.png?1690515455,0.453663,633080364,65,904399874,11781718,0.457947,0.447061,0.00082862,0.18299,-111699.30148792267,-0.01764,1400001000.0,2000000000.0,2000000000.0,0.515471,-12.18996,2023-02-16T08:52:49.445Z,0.0142795,3069.82678,2020-06-25T04:17:05.895Z,,2023-08-16T09:56:52.278Z
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom_round.png?1669652346,0.222277,623133796,66,706034908,94814542,0.240206,0.221589,-0.0173857476364247,-7.25424,-48712984.35881901,-7.25061,2802198274.26311,3175000000.0,3175000000.0,3.46,-93.58735,2021-10-28T05:19:39.845Z,0.00190227,11559.03475,2020-03-13T02:25:38.280Z,"{'times': 6.409247002715596, 'currency': 'usd', 'percentage': 640.9247002715597}",2023-08-16T09:57:25.639Z
decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,0.336142,619630747,67,737731167,58892236,0.363527,0.335938,-0.02720982557571683,-7.48857,-49267220.19435716,-7.36543,1842082057.18932,2193179327.32015,2193179327.32015,5.85,-94.25838,2021-11-25T10:04:18.534Z,0.00923681,3536.88213,2017-10-31T00:00:00.000Z,"{'times': 15.80708830111506, 'currency': 'usd', 'percentage': 1580.708830111506}",2023-08-16T09:57:21.066Z
injective-protocol,inj,Injective,https://assets.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1628233237,7.08,595237319,68,710683983,35677690,7.41,7.04,-0.32975440262577127,-4.44871,-25557455.014898777,-4.11689,83755555.66,100000000.0,100000000.0,24.89,-71.48796,2021-04-30T00:33:02.969Z,0.657401,979.49523,2020-11-03T16:19:30.576Z,,2023-08-16T09:57:26.214Z
radix,xrd,Radix,https://assets.coingecko.com/coins/images/4374/large/Radix.png?1629701658,0.057341,586626079,69,1375647388,2308334,0.06089,0.056045,-0.001857529170293505,-3.13779,-21456148.707178473,-3.52849,10234472884.3407,12634472884.1352,24000000000.0,0.651264,-91.18928,2021-11-14T16:09:27.130Z,0.03145312,82.43346,2022-11-29T23:20:09.754Z,,2023-08-16T09:57:05.903Z
render-token,rndr,Render,https://assets.coingecko.com/coins/images/11636/large/rndr.png?1638840934,1.57,577386135,70,829530365,22702805,1.73,1.56,-0.1570403696459799,-9.11249,-59374986.313213706,-9.32453,369614018.108796,531024271.388796,531024271.388796,8.78,-82.24552,2021-11-21T10:03:19.097Z,0.03665669,4154.00511,2020-06-16T13:22:25.900Z,,2023-08-16T09:57:17.857Z
gatechain-token,gt,Gate,https://assets.coingecko.com/coins/images/8183/large/gate.png?1687143308,4.06,556557033,71,1215476882,373513,4.1,4.04,-0.002208818054645789,-0.05442,-1192352.8466163874,-0.21378,137367573.56752193,300000000.0,,12.94,-68.68818,2021-05-12T11:39:16.531Z,0.25754,1473.47553,2020-03-13T02:18:02.481Z,,2023-08-16T09:56:33.384Z
neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,7.87,554919851,72,786785554,29745891,8.4,7.85,-0.5290109217407712,-6.30118,-36504049.91414511,-6.17223,70530000.0,100000000.0,,198.38,-96.04441,2018-01-15T00:00:00.000Z,0.078349,9915.58688,2016-10-21T00:00:00.000Z,"{'times': 217.5115086302566, 'currency': 'usd', 'percentage': 21751.15086302566}",2023-08-16T09:57:18.643Z
gala,gala,GALA,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1600233435,0.02122547,539623290,73,1063593768,524847036,0.02293727,0.02123233,-0.001683208187146016,-7.34747,-40792562.344177246,-7.02816,25367922712.7876,25367924522.0795,50000000000.0,0.824837,-97.42223,2021-11-26T01:03:48.731Z,0.00013475,15679.18704,2020-12-28T08:46:48.367Z,,2023-08-16T09:57:21.950Z
rollbit-coin,rlb,Rollbit Coin,https://assets.coingecko.com/coins/images/24552/large/unziL6wO_400x400.jpg?1648134494,0.161408,532875532,74,808133685,17138997,0.175214,0.156114,-0.005918902992904097,-3.53732,-16238074.382216394,-2.95714,3296951621.59,3296951622.0,5000000000.0,0.213089,-24.15862,2023-08-12T14:31:00.633Z,0.00093506,17183.38745,2022-07-02T02:46:34.730Z,,2023-08-16T09:57:20.685Z
pepe,pepe,Pepe,https://assets.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1682922725,1.25e-06,527664837,75,527664837,115585995,1.38e-06,1.24e-06,-1.28018802308e-07,-9.25832,-53336185.754755974,-9.18005,420690000000000.0,420690000000000.0,420690000000000.0,4.31e-06,-70.85971,2023-05-05T16:50:45.302Z,5.5142e-08,2176.10541,2023-04-18T02:14:41.591Z,,2023-08-16T09:57:22.635Z
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,0.507683,525564280,76,735778323,19425568,0.547412,0.505682,-0.03938798842731205,-7.19979,-41013546.39306259,-7.23882,1036200000.0,1450656993.87114,1450656993.87114,42.4,-98.80614,2021-04-05T13:49:10.098Z,0.441327,14.69107,2023-06-15T11:15:32.710Z,,2023-08-16T09:57:24.255Z
kucoin-shares,kcs,KuCoin,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1610678720,5.42,524264635,77,781700812,985424,5.52,5.41,-0.05742857646539434,-1.04821,-5140662.89242202,-0.97103,96732986.425851,144232986.425767,,28.83,-81.2116,2021-12-01T15:09:35.541Z,0.342863,1479.83603,2019-02-07T00:00:00.000Z,,2023-08-16T09:57:22.299Z
kava,kava,Kava,https://assets.coingecko.com/coins/images/9761/large/kava.png?1663638871,0.750858,524254980,78,524269267,13382869,0.825704,0.747653,-0.0737214393607264,-8.94049,-49947645.54436445,-8.69861,697718169.0,697737184.0,,9.12,-91.7863,2021-08-30T11:10:02.948Z,0.287137,160.88915,2020-03-13T02:24:16.835Z,,2023-08-16T09:57:27.504Z
ecash,xec,eCash,https://assets.coingecko.com/coins/images/16646/large/Logo_final-22.png?1628239446,2.655e-05,518598001,79,559300469,14025007,2.905e-05,2.652e-05,-2.392379558387e-06,-8.2664,-44726957.68956065,-7.93981,19471748423093.0,21000000000000.0,21000000000000.0,0.00038001,-93.00924,2021-09-04T17:09:31.137Z,1.847e-05,43.83293,2021-07-20T20:49:46.212Z,,2023-08-16T09:57:19.951Z
